name,category,desc,qty,price,cost,Status,shop name,Creator,Actions,Created,,
500ml Tangit glue,Tangit glue,t,4,750,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
100ml Tangit glue,Tangit glue,t,4,250,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
1l Tangit glue,Tangit glue,t,1,1500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
1l conta glue,Tangit glue,t,1,1200,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
250ml metro,Tangit glue,t,2,350,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
250ml magpow,Tangit glue,t,2,350,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
250ml pac,Tangit glue,t,1,350,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
3pin socket 16amps,Industrial socket,t,1,900,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
4pin socket 32amps,Industrial socket,t,1,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
4pin socket 16amps,Industrial socket,t,1,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
3pin socket 16amps without head,Industrial socket,t,1,500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
80amps contractor powerstar,contractor,t,1,5000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
digital multi meter (big),meter,t,1,2000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
